word,syllable break,phoneme,syllabilized phonemes
skyline,sky.line,s k ˈaɪ l ˌaɪ n,s k ˈaɪ . l ˌaɪ n
polluted,polluted,p ə l ˈu t ɪ d,p ə l ˈu t ɪ d
interrupts,in.ter.rupts,ˌɪ n t ɚ ˈʌ p t s,ˌɪ n . t ɚ . ˈʌ p t s
littered,littered,l ˈɪ t ɚ d,l ˈɪ t ɚ d
smashed,smashed,s m ˈæ ʃ t,s m ˈæ ʃ t
introduce,in.tro.duce,ˌɪ n t ɹ oʊ d ˈu s,ˌɪ n . t ɹ oʊ . d ˈu s
laughter,laugh.ter,l ˈæ f t ɚ,l ˈæ f . t ɚ
placed,placed,p l ˈeɪ s t,p l ˈeɪ s t
iron,i.ron,ˈaɪ ɚ n,ˈaɪ . ɚ n
examine,ex.am.ine,ɪ ɡ z ˈæ m ɪ n,ɪ ɡ . z ˈæ m . ɪ n
stinking,stink.ing,s t ˈɪ ŋ k ɪ ŋ,s t ˈɪ ŋ k . ɪ ŋ
substance,sub.stance,s ˈʌ b s t ə n s,s ˈʌ b . s t ə n s
disgusting,dis.gust.ing,d ɪ s ɡ ˈʌ s t ɪ ŋ,d ɪ s . ɡ ˈʌ s . t ɪ ŋ
contribute,con.tri.bute,k ə n t ɹ ˈɪ b j u t,k ə n . t ɹ ˈɪ b . j u t
wrench,wrench,ɹ ˈɛ n t͡ʃ,ɹ ˈɛ n t͡ʃ
hum,hum,h ˈʌ m,h ˈʌ m
whirs,whirs,w ˈɚ z,w ˈɚ z
auditorium,au.di.to.ri.um,ˌɔ d ə t ˈɔ ɹ i ə m,ˌɔ . d ə . t ˈɔ ɹ . i . ə m
hushed,hushed,h ˈʌ ʃ t,h ˈʌ ʃ t
jabbing,jab.bing,d͡ʒ ˈæ b ɪ ŋ,d͡ʒ ˈæ b . ɪ ŋ
draughts,draughts,d ɹ ˈæ f t s,d ɹ ˈæ f t s
attempts,at.tempts,ə t ˈɛ m p t s,ə . t ˈɛ m p t s
naught,naught,n ˈɔ t,n ˈɔ t
pitchforks,pitch.forks,p ˈɪ t͡ʃ f ˌɔ ɹ k s,p ˈɪ t͡ʃ . f ˌɔ ɹ k s
survived,sur.vived,s ɚ v ˈaɪ v d,s ɚ . v ˈaɪ v d
jawbones,jaw.bones,j ˈɔ b ˌoʊ n z,d͡ʒ ˈɔ . b ˌoʊ n z
jewel,jew.el,d͡ʒ ˈu l,d͡ʒ ˈu . l
poison,poi.son,p ˈɔɪ z ə n,p ˈɔɪ . z ə n
jugular,jug.u.lar,d͡ʒ ˈu ɡ j ə l ɚ,d͡ʒ ˈu ɡ . j ə . l ɚ
spilt,spilt,s p ˈɪ l t,s p ˈɪ l t
mucus,mu.cus,m j ˈu k ə s,m j ˈu . k ə s
sneeze,sneeze,s n ˈi z,s n ˈi z
ejected,ejected,ɪ d͡ʒ ˈɛ k t ɪ d,ɪ d͡ʒ ˈɛ k t ɪ d
disbelief,dis.be.lief,d ˌɪ s b ɪ l ˈi f,d ˌɪ s . b ɪ . l ˈi f
jupiter,ju.pit.er,d͡ʒ ˈu p ɪ t ɚ,d͡ʒ ˈu . p ɪ . t ɚ
stricken,strick.en,s t ɹ ˈɪ k ə n,s t ɹ ˈɪ k . ə n
knock,knock,n ˈɑ k,n ˈɑ k
ugly,ug.ly,ˈʌ ɡ l i,ˈʌ ɡ . l i
locate,lo.cate,l ˈoʊ k ˌeɪ t,l ˈoʊ . k ˌeɪ t
strings,strings,s t ɹ ˈɪ ŋ z,s t ɹ ˈɪ ŋ z
stitch,stitch,s t ˈɪ t͡ʃ,s t ˈɪ t͡ʃ
soothes,soothes,s ˈu ð z,s ˈu ð z
magic,mag.ic,m ˈæ d͡ʒ ɪ k,m ˈæ d͡ʒ . ɪ k
sudden,sud.den,s ˈʌ d ə n,s ˈʌ d . ə n
swells,swells,s w ˈɛ l z,s w ˈɛ l z
hops,hops,h ˈɑ p s,h ˈɑ p s
kangaroo,kan.ga.roo,k ˌæ ŋ ɡ ɚ ˈu,k ˌæ ŋ . ɡ ɚ . ɹ ˈu
clench,clench,k l ˈɛ n t͡ʃ,k l ˈɛ n t͡ʃ
release,re.lease,ɹ i l ˈi s,ɹ i . l ˈi s
jacket,jack.et,d͡ʒ ˈæ k ɪ t,d͡ʒ ˈæ k . ɪ t
clunk,clunk,k l ˈʌ ŋ k,k l ˈʌ ŋ k
tricky,trick.y,t ɹ ˈɪ k i,t ɹ ˈɪ k . i
rolling,roll.ing,ɹ ˈoʊ l ɪ ŋ,ɹ ˈoʊ . l ɪ ŋ
action,ac.tion,ˈæ k ʃ ə n,ˈæ k . ʃ ə n
kangaroos,kan.ga.roos,k ˌæ ŋ ɡ ɚ ˈu z,k ˌæ ŋ . ɡ ɚ . ɹ ˈu z
emotions,e.mo.tions,ɪ m ˈoʊ ʃ ə n z,ɪ . m ˈoʊ . ʃ ə n z
chicken,chick.en,t͡ʃ ˈɪ k ə n,t͡ʃ ˈɪ k . ə n
toxic,tox.ic,t ˈɑ k s ɪ k,t ˈɑ k . s ɪ k
loaf,loaf,l ˈoʊ f,l ˈoʊ f
kennel,ken.nel,k ˈɛ n ə l,k ˈɛ n . ə l
date,date,d ˈeɪ t,d ˈeɪ t
rained,rained,ɹ ˈeɪ n d,ɹ ˈeɪ n d
mouldy,mould.y,m ˈoʊ l d i,m ˈoʊ l . d i
yuck,yuck,j ˈʌ k,j ˈʌ k
concoction,concoction,k ə ŋ k ˈɑ k ʃ ə n,k ə ŋ k ˈɑ k . ʃ ə n
horrendous,hor.ren.dous,h ˌɔ ɹ ˈɛ n d ə s,h ˌɔ . ɹ ˈɛ n . d ə s
nightmare,night.mare,n ˈaɪ t m ˌɛ ɹ,n ˈaɪ t . m ˌɛ ɹ
abomination,a.bom.i.na.tion,ə b ˌɑ m ə n ˈeɪ ʃ ə n,ə . b ˌɑ m . ə . n ˈeɪ . ʃ ə n
delight,de.light,d ɪ l ˈaɪ t,d ɪ . l ˈaɪ t
adventurous,ad.ven.tur.ous,æ d v ˈɛ n t͡ʃ ɚ ə s,æ d . v ˈɛ n . t͡ʃ ɚ . ə s
handle,han.dle,h ˈæ n d ə l,h ˈæ n . d ə l
stench,stench,s t ˈɛ n t͡ʃ,s t ˈɛ n t͡ʃ
sour,sour,s ˈaʊ ɚ,s ˈaʊ ɚ
lumpy,lum.py,l ˈʌ m p i,l ˈʌ m . p i
option,op.tion,ˈɑ p ʃ ə n,ˈɑ p . ʃ ə n
bind,bind,b ˈaɪ n d,b ˈaɪ n d
caution,cau.tion,k ˈɔ ʃ ə n,k ˈɔ . ʃ ə n
bomb,bomb,b ˈɑ m,b ˈɑ m
portions,por.tions,p ˈɔ ɹ ʃ ə n z,p ˈɔ ɹ . ʃ ə n z
serves,serves,s ˈɚ v z,s ˈɚ v z
although,al.though,ɔ l ð ˈoʊ,ɔ l . ð ˈoʊ
icing,ic.ing,ˈaɪ s ɪ ŋ,ˈaɪ . s ɪ ŋ
rank,rank,ɹ ˈæ ŋ k,ɹ ˈæ ŋ k
invite,in.vite,ɪ n v ˈaɪ t,ɪ n . v ˈaɪ t
witnessed,wit.nessed,w ˈɪ t n ɪ s t,w ˈɪ t . n ɪ s t
wept,wept,w ˈɛ p t,w ˈɛ p t
lungs,lungs,l ˈʌ ŋ z,l ˈʌ ŋ z
belt,belt,b ˈɛ l t,b ˈɛ l t
beats,beats,b ˈi t s,b ˈi t s
thunder,thun.der,θ ˈʌ n d ɚ,θ ˈʌ n . d ɚ
pans,pans,p ˈæ n z,p ˈæ n z
puny,pu.ny,p j ˈu n i,p j ˈu . n i
rests,rests,ɹ ˈɛ s t s,ɹ ˈɛ s t s
entire,en.tire,ɪ n t ˈaɪ ɚ,ɪ n . t ˈaɪ ɚ
distinct,dis.tinct,d ɪ s t ˈɪ ŋ k t,d ɪ . s t ˈɪ ŋ k t
anyone,an.y.one,ˈɛ n i w ˌʌ n,ˈɛ n . i . w ˌʌ n
alike,a.like,ə l ˈaɪ k,ə . l ˈaɪ k
perhaps,per.haps,p ɚ h ˈæ p s,p ɚ . h ˈæ p s
harder,harder,h ˈɑ ɹ d ɚ,h ˈɑ ɹ d ɚ
burrow,bur.row,b ˈɚ oʊ,b ˈɚ . oʊ
exciting,ex.cit.ing,ɪ k s ˈaɪ t ɪ ŋ,ɪ k . s ˈaɪ . t ɪ ŋ
playground,play.ground,p l ˈeɪ ɡ ɹ ˌaʊ n d,p l ˈeɪ . ɡ ɹ ˌaʊ n d
suggest,sug.gest,s ə d͡ʒ ˈɛ s t,s ə . d͡ʒ ˈɛ s t
racket,rack.et,ɹ ˈæ k ɪ t,ɹ ˈæ k . ɪ t
filmy,filmy,f ˈɪ l m i,f ˈɪ l m i
exclaims,ex.claims,ɪ k s k l ˈeɪ m z,ɪ k . s k l ˈeɪ m z
create,cre.ate,k ɹ i ˈeɪ t,k ɹ i . ˈeɪ t
centre,cen.tre,s ˈɛ n t ɚ,s ˈɛ n t . ɚ
kojo,ko.jo,k ˈoʊ d͡ʒ oʊ,k ˈoʊ . d͡ʒ oʊ
creep,creep,k ɹ ˈi p,k ɹ ˈi p
arch,arch,ˈɑ ɹ t͡ʃ,ˈɑ ɹ t͡ʃ
steep,steep,s t ˈi p,s t ˈi p
tuck,tuck,t ˈʌ k,t ˈʌ k
shell,shell,ʃ ˈɛ l,ʃ ˈɛ l
labour,la.bour,l ˈeɪ b ɚ,l ˈeɪ . b ɚ
shrimp,shrimp,ʃ ɹ ˈɪ m p,ʃ ɹ ˈɪ m p
clown,clown,k l ˈaʊ n,k l ˈaʊ n
anemone,a.nem.o.ne,ə n ˈɛ m ə n i,ə . n ˈɛ m . ə . n i
jellyfish,jel.ly.fish,d͡ʒ ˈɛ l i f ˌɪ ʃ,d͡ʒ ˈɛ l . i . f ˌɪ ʃ
corals,cor.als,k ˈɔ ɹ ə l z,k ˈɔ . ɹ ə l z
pouch,pouch,p ˈaʊ t͡ʃ,p ˈaʊ t͡ʃ
suckers,suck.ers,s ˈʌ k ɚ z,s ˈʌ k . ɚ z
labours,la.bours,l ˈeɪ b ɚ z,l ˈeɪ . b ɚ z
ladybirds,la.dy.birds,l ˈæ d i b ˈɚ d z,l ˈeɪ . d i . b ˈɚ d z
clicking,click.ing,k l ˈɪ k ɪ ŋ,k l ˈɪ k . ɪ ŋ
forked,forked,f ˈɔ ɹ k t,f ˈɔ ɹ k t
item,i.tem,ˈaɪ t ə m,ˈaɪ . t ə m
owns,owns,ˈoʊ n z,ˈoʊ n z
avail,a.vail,ə v ˈeɪ l,ə . v ˈeɪ l
lily,lil.y,l ˈɪ l i,l ˈɪ l . i
pad,pad,p ˈæ d,p ˈæ d
asking,ask.ing,ˈæ s k ɪ ŋ,ˈæ . s k ɪ ŋ
travels,trav.els,t ɹ ˈæ v ə l z,t ɹ ˈæ v . ə l z
dora's,do.ras,d ˈɔ ɹ ə z,d ˈɔ ɹ . ə z
hire,hire,h ˈaɪ ɚ,h ˈaɪ ɚ
below,be.low,b ɪ l ˈoʊ,b ɪ . l ˈoʊ
lakebed,lake.bed,l ˈeɪ k b d,l ˈeɪ k . b ˌɛ d
helmet,hel.met,h ˈɛ l m ə t,h ˈɛ l . m ə t
breed,breed,b ɹ ˈi d,b ɹ ˈi d
chaos,cha.os,k ˈeɪ ɑ s,k ˈeɪ . ɑ s
milked,milked,m ˈɪ l k t,m ˈɪ l k t
complain,com.plain,k ə m p l ˈeɪ n,k ə m . p l ˈeɪ n
nausea,nau.se.a,n ˈɔ z i ə,n ˈɔ . z i . ə
spews,spews,s p j ˈu z,s p j ˈu z
chucking,chuck.ing,t͡ʃ ˈʌ k ɪ ŋ,t͡ʃ ˈʌ k . ɪ ŋ
rainbows,rain.bows,ɹ ˈeɪ n b oʊ z,ɹ ˈeɪ n . b oʊ z
strength,strength,s t ɹ ˈɛ ŋ θ,s t ɹ ˈɛ ŋ θ
fair,fair,f ˈɛ ɹ,f ˈɛ ɹ
tidal,tid.al,t ˈaɪ d ə l,t ˈaɪ . d ə l
magical,mag.i.cal,m ˈæ d͡ʒ ɪ k ə l,m ˈæ d͡ʒ . ɪ . k ə l
crash,crash,k ɹ ˈæ ʃ,k ɹ ˈæ ʃ
shot,shot,ʃ ˈɑ t,ʃ ˈɑ t
gosh,gosh,ɡ ˈɑ ʃ,ɡ ˈɑ ʃ
grades,grades,ɡ ɹ ˈeɪ d z,ɡ ɹ ˈeɪ d z
paid,paid,p ˈeɪ d,p ˈeɪ d
molecules,mol.e.cules,m ˈɑ l ə k j ˌu l z,m ˈɑ . l ə . k j ˌu l z
solution,so.lu.tion,s ə l ˈu ʃ ə n,s ə . l ˈu . ʃ ə n
controls,con.trols,k ə n t ɹ ˈoʊ l z,k ə n . t ɹ ˈoʊ l z
substances,sub.stanc.es,s ˈʌ b s t ə n s ɪ z,s ˈʌ b . s t ə n s . ɪ z
conditions,con.di.tions,k ə n d ˈɪ ʃ ə n z,k ə n . d ˈɪ ʃ . ə n z
based,based,b ˈeɪ s t,b ˈeɪ s t
mediums,me.di.ums,m ˈi d i ə m z,m ˈi . d i . ə m z
agar,a.gar,ˈeɪ ɡ ɚ,ˈeɪ . ɡ ɚ
beef,beef,b ˈi f,b ˈi f
broth,broth,b ɹ ˈɔ θ,b ɹ ˈɔ θ
yeast,yeast,j ˈi s t,j ˈi s t
litterbug,lit.ter.bug,l ˈɪ t ɚ b ə ɡ,l ˈɪ t . t ɚ . b ə ɡ
oxygen,ox.y.gen,ˈɑ k s ɪ d͡ʒ ə n,ˈɑ k . s ɪ . d͡ʒ ə n
rounds,rounds,ɹ ˈaʊ n d z,ɹ ˈaʊ n d z
list,list,l ˈɪ s t,l ˈɪ s t
shrunk,shrunk,ʃ ɹ ˈʌ ŋ k,ʃ ɹ ˈʌ ŋ k
autoclave,au.to.clave,ˈɔ t oʊ k l ˌeɪ v,ˈɔ . t oʊ . k l ˌeɪ v
pumping,pump.ing,p ˈʌ m p ɪ ŋ,p ˈʌ m . p ɪ ŋ
steam,steam,s t ˈi m,s t ˈi m
kills,kills,k ˈɪ l z,k ˈɪ l z
results,re.sults,ɹ ɪ z ˈʌ l t s,ɹ ɪ . z ˈʌ l t s
litterbugs,lit.ter.bugs,l ˈɪ t ɚ b ə ɡ z,l ˈɪ t . t ɚ . b ə ɡ z
rotting,rot.ting,ɹ ˈɑ t ɪ ŋ,ɹ ˈɑ t . ɪ ŋ
paul,paul,p ˈɔ l,p ˈɔ l
drawing,draw.ing,d ɹ ˈɔ ɪ ŋ,d ɹ ˈɔ . ɪ ŋ
matches,matches,m ˈæ t͡ʃ ɪ z,m ˈæ t͡ʃ ɪ z
width,width,w ˈɪ t θ,w ˈɪ t θ
searches,searches,s ˈɚ t͡ʃ ɪ z,s ˈɚ t͡ʃ ɪ z
laptop,lap.top,l ˈæ p t ˌɑ p,l ˈæ p . t ˌɑ p
wags,wags,w ˈæ ɡ z,w ˈæ ɡ z
loggerhead,log.ger.head,l ˈɑ ɡ ɚ h ˌɛ d,l ˈɑ . ɡ ɚ . h ˌɛ d
lyrebird,lyre.bird,l ˈaɪ ɚ b ˈɚ d,l ˈaɪ ɚ . b ˈɚ d
slows,slows,s l ˈoʊ z,s l ˈoʊ z
madagascar,mad.a.gas.car,m ˌæ d ə ɡ ˈæ s k ɚ,m ˌæ d . ə . ɡ ˈæ s . k ɚ
vegetables,vege.ta.bles,v ˈɛ d͡ʒ t ə b ə l z,v ˈɛ d͡ʒ . t ə . b ə l z
jungle,jun.gle,d͡ʒ ˈʌ ŋ ɡ ə l,d͡ʒ ˈʌ ŋ . ɡ ə l
passes,pa.sses,p ˈæ s ɪ z,p ˈæ . s ɪ z
grail,grail,ɡ ɹ ˈeɪ l,ɡ ɹ ˈeɪ l
lays,lays,l ˈeɪ z,l ˈeɪ z
x,x,ˈɛ k s,ˈɛ k s
stunning,stun.ning,s t ˈʌ n ɪ ŋ,s t ˈʌ n . ɪ ŋ
stags,stags,s t ˈæ ɡ z,s t ˈæ ɡ z
mane,mane,m ˈeɪ n,m ˈeɪ n
spends,spends,s p ˈɛ n d z,s p ˈɛ n d z
marked,marked,m ˈɑ ɹ k t,m ˈɑ ɹ k t
sickly,sick.ly,s ˈɪ k l i,s ˈɪ k . l i
confusing,con.fus.ing,k ə n f j ˈu z ɪ ŋ,k ə n . f j ˈu . z ɪ ŋ
helpful,help.ful,h ˈɛ l p f ə l,h ˈɛ l p . f ə l
blends,blends,b l ˈɛ n d z,b l ˈɛ n d z
molts,molts,m ˈɔ l t s,m ˈɔ l t s
manticore,man.ti.core,m ˈæ n t ɪ k ˌɔ ɹ,m ˈæ n . t ɪ . k ˌɔ ɹ
focus,fo.cus,f ˈoʊ k ə s,f ˈoʊ . k ə s
attack,at.tack,ə t ˈæ k,ə . t ˈæ k
defense,de.fense,d ɪ f ˈɛ n s,d ɪ . f ˈɛ n s
poisonous,poi.son.ous,p ˈɔɪ z ə n ə s,p ˈɔɪ . z ə n . ə s
toxins,tox.ins,t ˈɑ k s ə n z,t ˈɑ k . s ə n z
itch,itch,ˈɪ t͡ʃ,ˈɪ t͡ʃ
hairs,hairs,h ˈɛ ɹ z,h ˈɛ ɹ z
discomfort,dis.com.fort,d ɪ s k ˈʌ m f ɚ t,d ɪ s . k ˈʌ m . f ɚ t
result,re.sult,ɹ ɪ z ˈʌ l t,ɹ ɪ . z ˈʌ l t
creates,cre.ates,k ɹ i ˈeɪ t s,k ɹ i . ˈeɪ t s
thread,thread,θ ɹ ˈɛ d,θ ɹ ˈɛ d
frets,frets,f ɹ ˈɛ t s,f ɹ ˈɛ t s
spooks,spooks,s p ˈu k s,s p ˈu k s
scoots,scoots,s k ˈu t s,s k ˈu t s
orb,orb,ˈɔ ɹ b,ˈɔ ɹ b
messes,messes,m ˈɛ s ɪ z,m ˈɛ s ɪ z
switch,switch,s w ˈɪ t͡ʃ,s w ˈɪ t͡ʃ
bulb,bulb,b ˈʌ l b,b ˈʌ l b
pitches,pitches,p ˈɪ t͡ʃ ɪ z,p ˈɪ t͡ʃ ɪ z
feast,feast,f ˈi s t,f ˈi s t
proceeds,pro.ceeds,p ɹ oʊ s ˈi d z,p ɹ oʊ . s ˈi d z
squeezes,squeezes,s k w ˈi z ɪ z,s k w ˈi z ɪ z
lotus,lo.tus,l ˈoʊ t ə s,l ˈoʊ . t ə s
wilts,wilts,w ˈɪ l t s,w ˈɪ l t s
relief,re.lief,ɹ ɪ l ˈi f,ɹ ɪ . l ˈi f
stubborn,stub.born,s t ˈʌ b ɚ n,s t ˈʌ b . ɚ n
decides,de.cides,d ɪ s ˈaɪ d z,d ɪ . s ˈaɪ d z
project,pro.ject,p ɹ ˈɑ d͡ʒ ɛ k t,p ɹ ˈɑ . d͡ʒ ɛ k t
holes,holes,h ˈoʊ l z,h ˈoʊ l z
weaves,weaves,w ˈi v z,w ˈi v z
provides,pro.vides,p ɹ ə v ˈaɪ d z,p ɹ ə . v ˈaɪ d z
hare,hare,h ˈɛ ɹ,h ˈɛ ɹ
teachers,teach.ers,t ˈi t͡ʃ ɚ z,t ˈi . t͡ʃ ɚ z
object,ob.ject,ˈɑ b d͡ʒ ɛ k t,ˈɑ b . d͡ʒ ɛ k t
scarves,scarves,s k ˈɑ ɹ v z,s k ˈɑ ɹ v z
biographies,bi.og.ra.phies,b aɪ ˈɑ ɡ ɹ ə f i z,b aɪ . ˈɑ . ɡ ɹ ə . f i z
tucked,tucked,t ˈʌ k t,t ˈʌ k t
dusty,dust.y,d ˈʌ s t i,d ˈʌ s . t i
wrapped,wrapped,ɹ ˈæ p t,ɹ ˈæ p t
confiscated,con.fisc.a.ted,k ˈɑ n f ə s k ˌeɪ t ɪ d,k ˈɑ n . f ə s k . ˌeɪ . t ɪ d
punishment,pun.ish.ment,p ˈʌ n ɪ ʃ m ə n t,p ˈʌ n . ɪ ʃ . m ə n t
marvellous,mar.vell.ous,m ˈɑ ɹ v ə l ə s,m ˈɑ ɹ . v ə l . ə s
happily,hap.pi.ly,h ˈæ p ə l i,h ˈæ p . ə l . i
mature,ma.ture,m ə t͡ʃ ˈʊ ɹ,m ə . t͡ʃ ˈʊ ɹ
speculating,spec.u.lat.ing,s p ˈɛ k j ə l ˌeɪ t ɪ ŋ,s p ˈɛ k . j ə . l ˌeɪ t . ɪ ŋ
laps,laps,l ˈæ p s,l ˈæ p s
stretcher,stretch.er,s t ɹ ˈɛ t͡ʃ ɚ,s t ɹ ˈɛ t͡ʃ . ɚ
rigid,rig.id,ɹ ˈɪ d͡ʒ ɪ d,ɹ ˈɪ d͡ʒ . ɪ d
confirmed,con.firmed,k ə n f ˈɚ m d,k ə n . f ˈɚ m d
age,age,ˈeɪ d͡ʒ,ˈeɪ d͡ʒ
breathed,breathed,b ɹ ˈi ð d,b ɹ ˈi ð d
gem,gem,d͡ʒ ˈɛ m,d͡ʒ ˈɛ m
preceded,pre.ce.ded,p ɹ ɪ s ˈi d ɪ d,p ɹ ɪ . s ˈi . d ɪ d
quirky,quirk.y,k w ˈɚ k i,k w ˈɚ . k i
creepy,creep.y,k ɹ ˈi p i,k ɹ ˈi . p i
comforting,com.fort.ing,k ˈʌ m f ɚ t ɪ ŋ,k ˈʌ m . f ɚ . t ɪ ŋ
cared,cared,k ˈɛ ɹ d,k ˈɛ ɹ d
anyway,an.y.way,ˈɛ n i w ˌeɪ,ˈɛ n . i . w ˌeɪ
medieval,me.di.e.val,m ɪ d ˈi v ə l,m ɪ d . ˈi . v ə l
dishonest,dis.hon.est,d ɪ s ˈɑ n ɪ s t,d ɪ s . ˈɑ . n ɪ s t
memories,mem.o.ries,m ˈɛ m ɚ i z,m ˈɛ m . m ɚ . ɹ i z
panicked,pan.icked,p ˈæ n ɪ k t,p ˈæ n . ɪ k t
memory,mem.o.ry,m ˈɛ m ɚ i,m ˈɛ m . m ɚ . ɹ i
confident,con.fi.dent,k ˈɑ n f ə d ə n t,k ˈɑ n . f ə . d ə n t
grunted,grunt.ed,ɡ ɹ ˈʌ n t ɪ d,ɡ ɹ ˈʌ n . t ɪ d
response,re.sponse,ɹ ɪ s p ˈɑ n s,ɹ ɪ . s p ˈɑ n s
television,tel.e.vi.sion,t ˈɛ l ə v ˌɪ ʒ ə n,t ˈɛ l . ə . v ˌɪ ʒ . ə n
flicked,flicked,f l ˈɪ k t,f l ˈɪ k t
mosquitoes,mos.qui.toes,m ə s k ˈi t oʊ z,m ə . s k ˈi . t oʊ z
handy,han.dy,h ˈæ n d i,h ˈæ n . d i
larvae,lar.vae,l ˈɑ ɹ v i,l ˈɑ ɹ . v i
foods,foods,f ˈu d z,f ˈu d z
shallow,shal.low,ʃ ˈæ l oʊ,ʃ ˈæ l . oʊ
mercury,mer.cu.ry,m ˈɚ k j ɚ i,m ˈɚ . k j ɚ . ɹ i
ourselves,our.selves,aʊ ɚ s ˈɛ l v z,aʊ ɚ . s ˈɛ l v z
southeast,south.east,s ˌaʊ θ ˈi s t,s ˌaʊ θ . ˈi s t
asia,a.sia,ˈeɪ ʒ ə,ˈeɪ . ʒ ə
apam,a.pam,ə p ə m,ə . p ə m
holy,ho.ly,h ˈoʊ l i,h ˈoʊ . l i
month,month,m ˈʌ n θ,m ˈʌ n θ
abdul,ab.dul,æ b d ˈu l,æ b . d ˈu l
disturbing,dis.turb.ing,d ɪ s t ˈɚ b ɪ ŋ,d ɪ . s t ˈɚ . b ɪ ŋ
cakes,cakes,k ˈeɪ k s,k ˈeɪ k s
gathers,gath.ers,ɡ ˈæ ð ɚ z,ɡ ˈæ ð . ɚ z
stove,stove,s t ˈoʊ v,s t ˈoʊ v
dried,dried,d ɹ ˈaɪ d,d ɹ ˈaɪ d
boasts,boasts,b ˈoʊ s t s,b ˈoʊ s t s
splashes,splashes,s p l ˈæ ʃ ɪ z,s p l ˈæ ʃ ɪ z
batter,bat.ter,b ˈæ t ɚ,b ˈæ t . ɚ
enthusiastic,en.thu.si.as.tic,ɪ n θ ˌu z i ˈæ s t ɪ k,ɪ n . θ ˌu . z i . ˈæ s . t ɪ k
spoon,spoon,s p ˈu n,s p ˈu n
mixture,mix.ture,m ˈɪ k s t͡ʃ ɚ,m ˈɪ k s . t͡ʃ ɚ
oven,ov.en,ˈʌ v ə n,ˈʌ v . ə n
lid,lid,l ˈɪ d,l ˈɪ d
evenly,e.ven.ly,ˈi v ə n l i,ˈi . v ə n . l i
impatience,im.pa.tience,ɪ m p ˈeɪ ʃ ə n s,ɪ m . p ˈeɪ . ʃ ə n s
managed,man.aged,m ˈæ n ɪ d͡ʒ d,m ˈæ n . ɪ d͡ʒ d
sprain,sprain,s p ɹ ˈeɪ n,s p ɹ ˈeɪ n
headcold,head.cold,h ˈɛ d k ˌoʊ l d,h ˈɛ d . k ˌoʊ l d
gains,gains,ɡ ˈeɪ n z,ɡ ˈeɪ n z
pineapple,pine.ap.ple,p ˈaɪ n ˌæ p ə l,p ˈaɪ n . ˌæ p . ə l
goodbye,good.bye,ɡ ˌʊ d b ˈaɪ,ɡ ˌʊ d . b ˈaɪ
blob,blob,b l ˈɑ b,b l ˈɑ b
balloon,ba.lloon,b ə l ˈu n,b ə . l ˈu n
brick,brick,b ɹ ˈɪ k,b ɹ ˈɪ k
brew,brew,b ɹ ˈu,b ɹ ˈu
equal,e.qual,ˈi k w ə l,ˈi . k w ə l
snows,snows,s n ˈoʊ z,s n ˈoʊ z
flakes,flakes,f l ˈeɪ k s,f l ˈeɪ k s
shoulders,shoul.ders,ʃ ˈoʊ l d ɚ z,ʃ ˈoʊ l . d ɚ z
habit,hab.it,h ˈæ b ə t,h ˈæ b . ə t
creaks,creaks,k ɹ ˈi k s,k ɹ ˈi k s
ploy,ploy,p l ˈɔɪ,p l ˈɔɪ
coy,coy,k ˈɔɪ,k ˈɔɪ
hikes,hikes,h ˈaɪ k s,h ˈaɪ k s
tents,tents,t ˈɛ n t s,t ˈɛ n t s
filth,filth,f ˈɪ l θ,f ˈɪ l θ
prize,prize,p ɹ ˈaɪ z,p ɹ ˈaɪ z
trick,trick,t ɹ ˈɪ k,t ɹ ˈɪ k
flu,flu,f l ˈu,f l ˈu
hose,hose,h ˈoʊ z,h ˈoʊ z
sprinkle,sprin.kle,s p ɹ ˈɪ ŋ k ə l,s p ɹ ˈɪ ŋ . k ə l
privacy,pri.va.cy,p ɹ ˈaɪ v ə s i,p ɹ ˈaɪ . v ə . s i
lunacy,lu.na.cy,l ˈu n ə s i,l ˈu . n ə . s i
rig,rig,ɹ ˈɪ ɡ,ɹ ˈɪ ɡ
lever,le.ver,l ˈɛ v ɚ,l ˈɛ v . ɚ
husks,husks,h ˈʌ s k s,h ˈʌ s k s
laughs,laughs,l ˈæ f s,l ˈæ f s
microgravity,mi.cro.gra.vi.ty,m ˈɪ k ɹ ə ɡ ɹ ˈæ v ɪ t i,m ˈɪ . k ɹ ə . ɡ ɹ ˈæ v . ɪ . t i
blades,blades,b l ˈeɪ d z,b l ˈeɪ d z
scrapes,scrapes,s k ɹ ˈeɪ p s,s k ɹ ˈeɪ p s
slice,slice,s l ˈaɪ s,s l ˈaɪ s
delicacy,del.i.ca.cy,d ˈɛ l ɪ k ə s i,d ˈɛ l . ɪ . k ə . s i
airplanes,air.planes,ˈɛ ɹ p l eɪ n z,ˈɛ ɹ . p l eɪ n z
hilltop,hill.top,h ˈɪ l t ˌɑ p,h ˈɪ l . t ˌɑ p
classmates,class.mates,k l ˈæ s m ˌeɪ t s,k l ˈæ s . m ˌeɪ t s
pair,pair,p ˈɛ ɹ,p ˈɛ ɹ
flights,flights,f l ˈaɪ t s,f l ˈaɪ t s
fare,fare,f ˈɛ ɹ,f ˈɛ ɹ
loop,loop,l ˈu p,l ˈu p
